run_id,task_id,fault_type,fault_class,hook_tool,k,k_bin,n_steps,rel_pos,format,arm,auditor_role,sample_id,is_control,is_development,pred_step,true_step,exact,within3,pred_cat,true_cat,false_alarm,pointer_ok,parse_ok,tokens_in,tokens_out,bytes_record,prompt_hash,render_hash,model_tag,model_digest,ollama_version,think,num_ctx,seconds
4hop1__151650_5274_458768_33637|clean,4hop1__151650_5274_458768_33637,clean,none,,,,32,,log,lossless,primary,0,1,1,18,,,,tool,none,1,0,1,4687,179,15272,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,4b5807a407c04870e373638467c5af99c3f1d49c57bd1f527b90a5cdf7d17e18,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,66.4
4hop1__151650_5274_458768_33637|clean,4hop1__151650_5274_458768_33637,clean,none,,,,32,,diff,lossless,primary,0,1,1,18,,,,tool,none,1,0,1,6185,169,20332,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,7b77c825c1122e67e4fbef319b5ba000362b8e62c21648e4dc06d7a165346c04,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,71.75
4hop1__151650_5274_458768_33637|clean,4hop1__151650_5274_458768_33637,clean,none,,,,32,,prov,lossless,primary,0,1,1,18,,,,tool,none,1,1,1,6218,150,19755,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,31b2ac8d8b7bcd109b31d9f8f9dafa0a9f4cecedfd76785c94e5898a12fac13f,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,70.31
4hop1__39871_314549_131976_56103|clean,4hop1__39871_314549_131976_56103,clean,none,,,,20,,log,lossless,primary,0,1,1,6,,,,evidence,none,1,0,1,3174,784,9612,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,5fb383456ba144872df535e61e0a40fdd8db8062f0955e30741a55cc0875f683,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,128.15
4hop1__39871_314549_131976_56103|clean,4hop1__39871_314549_131976_56103,clean,none,,,,20,,diff,lossless,primary,0,1,1,6,,,,evidence,none,1,0,1,4196,435,13184,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,8c32e3466924ab4b96759c148adc94cb2b0ccdc46e6e4ebd7fa2043b2d1762cd,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,94.08
4hop1__39871_314549_131976_56103|clean,4hop1__39871_314549_131976_56103,clean,none,,,,20,,prov,lossless,primary,0,1,1,6,,,,evidence,none,1,0,1,4116,238,12267,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,37eaae9123c092e83f04ecd2319bd6807213f37bec3d60f20902fccec73841ad,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,63.58
3hop1__136016_87694_124169|clean,3hop1__136016_87694_124169,clean,none,,,,20,,log,lossless,primary,0,1,1,,,,,none,none,0,0,1,3280,196,9129,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,c2df8deeaca7736bf6972f94e19aa0d5103d52f99e5394f464bb10d2a52244bc,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,48.2
3hop1__136016_87694_124169|clean,3hop1__136016_87694_124169,clean,none,,,,20,,diff,lossless,primary,0,1,1,,,,,none,none,0,0,1,4214,624,12064,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,0f063500b1956b50623dbcadbe01293fb185be33eafd7d52203ca8ee510dbfc2,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,103.14
3hop1__136016_87694_124169|clean,3hop1__136016_87694_124169,clean,none,,,,20,,prov,lossless,primary,0,1,1,,,,,none,none,0,0,1,4273,144,11929,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,ffcd4a8f1af1db725588699bbd7f3cfe990ad2ec890ebd1cb9efe6830861b84d,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,52.92
4hop2__161602_474028_88460_21034|clean,4hop2__161602_474028_88460_21034,clean,none,,,,20,,log,lossless,primary,0,1,1,,,,,none,none,0,0,1,3180,122,8946,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,2a6adca034c16621997fe9601852e946ff7187aaac4e3fd199755527c72c09f4,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,45.22
4hop2__161602_474028_88460_21034|clean,4hop2__161602_474028_88460_21034,clean,none,,,,20,,diff,lossless,primary,0,1,1,,,,,none,none,0,0,1,4030,109,11612,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,e49abc69a9c8020df9cc4faa89aea62bed113044a84059f0e31ab6495a020ad8,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,49.81
4hop2__161602_474028_88460_21034|clean,4hop2__161602_474028_88460_21034,clean,none,,,,20,,prov,lossless,primary,0,1,1,,,,,none,none,0,0,1,4145,106,11639,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,954bff982f13d68815204a387ad96da2443789bac0c29308ac0a8cea0a2c60c8,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,47.9
3hop2__127483_125104_10557|clean,3hop2__127483_125104_10557,clean,none,,,,20,,log,lossless,primary,0,1,1,,,,,none,none,0,0,1,3313,128,8880,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,09a2e9d2a4df2a8bdd9ea6c4c634f16cbae0294880d04cc2125305541a1995d4,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,45.0
3hop2__127483_125104_10557|clean,3hop2__127483_125104_10557,clean,none,,,,20,,diff,lossless,primary,0,1,1,,,,,,none,1,0,0,4200,1024,11519,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,a1582519ad1cd6e85666c8ad2a110e7ca35a8c8b8d31e66117dc70da99293934,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,152.63
3hop2__127483_125104_10557|clean,3hop2__127483_125104_10557,clean,none,,,,20,,prov,lossless,primary,0,1,1,,,,,none,none,0,0,1,4260,648,11543,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,8d2569e8e4b42f1155d4652f77abb45e0e8569584ee05e7e9bacfa54d9c6d42c,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,108.0
4hop1__151650_5274_458768_33637|sham|18,4hop1__151650_5274_458768_33637,sham,none,write_note,18,1,32,0.562,log,lossless,primary,0,1,1,18,,,,tool,none,1,0,1,4687,179,15272,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,4b5807a407c04870e373638467c5af99c3f1d49c57bd1f527b90a5cdf7d17e18,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,66.4
4hop1__151650_5274_458768_33637|sham|18,4hop1__151650_5274_458768_33637,sham,none,write_note,18,1,32,0.562,diff,lossless,primary,0,1,1,18,,,,tool,none,1,0,1,6185,169,20332,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,7b77c825c1122e67e4fbef319b5ba000362b8e62c21648e4dc06d7a165346c04,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,71.75
4hop1__151650_5274_458768_33637|sham|18,4hop1__151650_5274_458768_33637,sham,none,write_note,18,1,32,0.562,prov,lossless,primary,0,1,1,18,,,,tool,none,1,1,1,6218,150,19755,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,31b2ac8d8b7bcd109b31d9f8f9dafa0a9f4cecedfd76785c94e5898a12fac13f,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,70.31
4hop1__151650_5274_458768_33637|wrong_argument|16,4hop1__151650_5274_458768_33637,wrong_argument,tool,read,16,1,38,0.421,log,lossless,primary,0,0,1,16,16,1,1,tool,tool,,0,1,5457,213,18303,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,7f23d134c6aa4ea3a8ae6b07f879d82645c042c5623542eef1e6e234c9c3e13f,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,71.84
4hop1__151650_5274_458768_33637|wrong_argument|16,4hop1__151650_5274_458768_33637,wrong_argument,tool,read,16,1,38,0.421,diff,lossless,primary,0,0,1,16,16,1,1,tool,tool,,0,1,7153,199,23890,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,096f43fe2573d17f987f1351f20ee9d1ec4b87e7f9edd0f3bc64e18507e96323,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,83.86
4hop1__151650_5274_458768_33637|wrong_argument|16,4hop1__151650_5274_458768_33637,wrong_argument,tool,read,16,1,38,0.421,prov,lossless,primary,0,0,1,16,16,1,1,tool,tool,,1,1,7092,182,23080,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,cc9547b7d60c56bd48c2026414ac8792b81a1339154110a73433ab751e7d20b4,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,81.18
4hop1__151650_5274_458768_33637|wrong_source|30,4hop1__151650_5274_458768_33637,wrong_source,evidence,write_note,30,2,32,0.938,log,lossless,primary,0,0,1,30,30,1,1,evidence,evidence,,1,1,4692,155,15317,ba8b77f02b64574ea7e93ea62fa1fc123ccb9b7577129cf415e005a243f5b0a5,701fa13a4e94f4cdd038fb4d498c321fbd26e363487babf72109688a11b9d735,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,56.25
4hop1__151650_5274_458768_33637|wrong_source|30,4hop1__151650_5274_458768_33637,wrong_source,evidence,write_note,30,2,32,0.938,diff,lossless,primary,0,0,1,30,30,1,1,evidence,evidence,,1,1,6189,174,20379,580493953bfd9de6d0b2d1d8a4f1e43ab9de066daab1e45d308f79bb0263f1ee,e7f5caf7541e0d9b10a1c7a10bc2aba0b001d49eb4183ad4f4185828652469cd,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,71.42
4hop1__151650_5274_458768_33637|wrong_source|30,4hop1__151650_5274_458768_33637,wrong_source,evidence,write_note,30,2,32,0.938,prov,lossless,primary,0,0,1,30,30,1,1,evidence,evidence,,0,1,6222,195,19802,168bfa490b87987c32e9abf27aba2b17c5b1e85904f1f25d9f267c0979b5b569,f6d3625446491d997796de90c7b92e2a92d55bf6563ba093ae826f4c7c4b1208,qwen3.8:27b,22130167c4c20e20c7b71454612966ca8e8171e9b3cc8ab6ce8aa6cbfec79643,0.33.2,off,16384,75.15
