"dataset","p_interaction","ladder_step","still_failed"
0,4.42144345682865e-16,"glmer, task and run intercepts",FALSE
1,2.17483740798973e-12,"glmer, task and run intercepts",FALSE
2,6.04457388865722e-15,"glmer, task and run intercepts",FALSE
3,1.72024199519301e-09,"glmer, task and run intercepts",FALSE
4,3.02535542203227e-12,"glmer, task intercept only",FALSE
5,3.05299663185565e-09,"glmer, task and run intercepts",FALSE
6,2.37419163642457e-15,"glmer, task and run intercepts",FALSE
7,1.62159858301038e-14,"glmer, task and run intercepts",FALSE
8,4.64611426664055e-15,"glmer, task and run intercepts",FALSE
9,3.12336087352855e-11,"glmer, task and run intercepts",FALSE
10,7.00365424748183e-15,"glmer, task and run intercepts",FALSE
11,4.38970689658589e-15,"glmer, task and run intercepts",FALSE
12,8.28550328793408e-12,"glmer, task and run intercepts",FALSE
13,1.72031884837074e-11,"glmer, task intercept only",FALSE
14,1.44575161570526e-12,"glmer, task and run intercepts",FALSE
15,6.24392908206986e-09,"glmer, task and run intercepts",FALSE
16,1.77338233176881e-16,"glmer, task and run intercepts",FALSE
17,9.40562752129913e-14,"glmer, task and run intercepts",FALSE
18,3.58044945950649e-11,"glmer, task and run intercepts",FALSE
19,1.91096210021905e-09,"glmer, task and run intercepts",FALSE
20,6.02159653524674e-05,"glmer, task and run intercepts",FALSE
21,3.28368148349182e-05,"glmer, task and run intercepts",FALSE
22,2.47084624253433e-13,"glmer, task and run intercepts",FALSE
23,3.26929477790269e-06,"glmer, task and run intercepts",FALSE
24,2.00150647924329e-10,"glmer, task and run intercepts",FALSE
25,5.63982078022867e-06,"glmer, task and run intercepts",FALSE
26,3.19962654789315e-12,"glmer, task and run intercepts",FALSE
27,2.06654555089009e-15,"glmer, task and run intercepts",FALSE
28,5.01348551802107e-12,"glmer, task and run intercepts",FALSE
29,9.05429149303936e-13,"glmer, task and run intercepts",FALSE
30,2.95601501347495e-09,"glmer, task and run intercepts",FALSE
31,1.39601228804597e-11,"glmer, task and run intercepts",FALSE
32,2.67891626426803e-15,"glmer, task and run intercepts",FALSE
33,4.54838136473495e-10,"glmer, task and run intercepts",FALSE
34,1.29377587965343e-18,"glmer, task and run intercepts",FALSE
35,8.4275476582236e-08,"glmer, task and run intercepts",FALSE
36,2.32527649954646e-13,"glmer, task and run intercepts",FALSE
37,2.48561767677447e-14,"glmer, task and run intercepts",FALSE
38,3.43449248449862e-10,"glmer, task and run intercepts",FALSE
39,2.23621532059702e-09,"glmer, task and run intercepts",FALSE
40,3.98606690220904e-13,"glmer, task and run intercepts",FALSE
41,1.04645508885409e-10,"glmer, task and run intercepts",FALSE
42,5.9279544692969e-08,"glmer, task and run intercepts",FALSE
43,9.49378483340726e-11,"glmer, task and run intercepts",FALSE
44,2.06551859238765e-12,"glmer, task and run intercepts",FALSE
45,1.00761237472406e-14,"glmer, task and run intercepts",FALSE
46,2.20108944066571e-09,"glmer, task and run intercepts",FALSE
47,3.35279472169728e-13,"glmer, task and run intercepts",FALSE
48,1.04863510438211e-12,"glmer, task and run intercepts",FALSE
49,1.44702795796049e-12,"glmer, task and run intercepts",FALSE
50,2.0298828094139e-08,"glmer, task and run intercepts",FALSE
51,2.53718724926522e-11,"glmer, task and run intercepts",FALSE
52,8.48668287887359e-15,"glmer, task and run intercepts",FALSE
53,2.78306742784854e-09,"glmer, task and run intercepts",FALSE
54,7.4174059058562e-14,"glmer, task and run intercepts",FALSE
55,3.4996694997906e-12,"glmer, task and run intercepts",FALSE
56,3.2058253566759e-13,"glmer, task and run intercepts",FALSE
57,2.41333196506967e-14,"glmer, task and run intercepts",FALSE
58,4.22141219082145e-18,"glmer, task and run intercepts",FALSE
59,3.60200488118861e-11,"glmer, task and run intercepts",FALSE
60,2.29482664723811e-10,"glmer, task and run intercepts",FALSE
61,1.81824770718397e-12,"glmer, task and run intercepts",FALSE
62,3.40642995565273e-11,"glmer, task and run intercepts",FALSE
63,1.31048650889779e-08,"glmer, task and run intercepts",FALSE
64,2.22717357551138e-11,"glmer, task and run intercepts",FALSE
65,1.016447089089e-07,"glmer, task and run intercepts",FALSE
66,8.64979610275412e-14,"glmer, task and run intercepts",FALSE
67,6.116088770126e-10,"glmer, task and run intercepts",FALSE
68,1.65211242749071e-07,"glmer, task and run intercepts",FALSE
69,2.91039287099805e-09,"glmer, task and run intercepts",FALSE
70,9.10570610713131e-11,"glmer, task and run intercepts",FALSE
71,3.02127598690211e-15,"glmer, task and run intercepts",FALSE
72,4.55058996608391e-14,"glmer, task and run intercepts",FALSE
73,4.34691615898483e-12,"glmer, task and run intercepts",FALSE
74,2.82019778210641e-14,"glmer, task and run intercepts",FALSE
75,3.16421468663342e-10,"glmer, task and run intercepts",FALSE
76,2.4433215335207e-10,"glmer, task and run intercepts",FALSE
77,1.59411638329123e-07,"glmer, task and run intercepts",FALSE
78,5.93083634517988e-09,"glmer, task and run intercepts",FALSE
79,5.75481498157213e-08,"glmer, task and run intercepts",FALSE
80,1.00977639500129e-12,"glmer, task and run intercepts",FALSE
