"dataset","p_interaction","ladder_step","still_failed"
0,0.0089526466980543,"glmer, task and run intercepts",FALSE
1,0.000420783228428008,"glmer, task and run intercepts",FALSE
2,2.41365842921043e-07,"glmer, task and run intercepts",FALSE
3,0.0347212225933844,"glmer, task and run intercepts",FALSE
4,3.61447820674406e-07,"glmer, task and run intercepts",FALSE
5,0.00113904598570837,"glmer, task and run intercepts",FALSE
6,1.46115842805419e-05,"glmer, task and run intercepts",FALSE
7,0.000221207113494578,"glmer, task and run intercepts",FALSE
8,9.30488169475157e-05,"glmer, task and run intercepts",FALSE
9,0.0138799234130313,"glmer, task and run intercepts",FALSE
10,0.000602403377948421,"glmer, task and run intercepts",FALSE
11,0.000336185856531332,"glmer, task and run intercepts",FALSE
12,0.00251672649154113,"glmer, task and run intercepts",FALSE
13,8.6277938948602e-06,"glmer, task and run intercepts",FALSE
14,0.000214396585584692,"glmer, task and run intercepts",FALSE
15,0.0180216735125987,"glmer, task and run intercepts",FALSE
16,4.73059586369715e-06,"glmer, task and run intercepts",FALSE
17,0.000142882875545747,"glmer, task and run intercepts",FALSE
18,0.000614361719693874,"glmer, task and run intercepts",FALSE
19,0.0333401552252861,"glmer, task and run intercepts",FALSE
20,0.455302047164907,"glmer, task and run intercepts",FALSE
21,0.0622338963782054,"glmer, task and run intercepts",FALSE
22,0.000481623983195493,"glmer, task and run intercepts",FALSE
23,0.120836848233851,"glmer, task and run intercepts",FALSE
24,0.000720732949779271,"glmer, task and run intercepts",FALSE
25,0.0120147540938276,"glmer, task and run intercepts",FALSE
26,7.58233138138678e-05,"glmer, task and run intercepts",FALSE
27,8.75521682982253e-06,"glmer, task and run intercepts",FALSE
28,0.00603460909507592,"glmer, task and run intercepts",FALSE
29,2.44335166500224e-05,"glmer, task and run intercepts",FALSE
30,0.0168020139818932,"glmer, task and run intercepts",FALSE
31,0.000653397174076736,"glmer, task and run intercepts",FALSE
32,1.55525245973758e-05,"glmer, task and run intercepts",FALSE
33,0.00756123671588751,"glmer, task and run intercepts",FALSE
34,0.000111447510672363,"glmer, task and run intercepts",FALSE
35,0.0742125136800528,"glmer, task and run intercepts",FALSE
36,7.7913864070212e-05,"glmer, task and run intercepts",FALSE
37,0.00334517009570385,"glmer, task and run intercepts",FALSE
38,0.0207373663576526,"glmer, task and run intercepts",FALSE
39,0.00207573551481442,"glmer, task and run intercepts",FALSE
40,0.000666313381088898,"glmer, task and run intercepts",FALSE
41,0.000905969291352588,"glmer, task and run intercepts",FALSE
42,0.139451129976015,"glmer, task and run intercepts",FALSE
43,0.000544437740261512,"glmer, task and run intercepts",FALSE
44,0.000380836779859566,"glmer, task and run intercepts",FALSE
45,5.53953542678422e-05,"glmer, task and run intercepts",FALSE
46,0.00579507483832298,"glmer, task and run intercepts",FALSE
47,4.32201739419201e-06,"glmer, task and run intercepts",FALSE
48,1.84597620087476e-05,"glmer, task and run intercepts",FALSE
49,8.91066559072855e-05,"glmer, task and run intercepts",FALSE
50,0.00959299478492681,"glmer, task and run intercepts",FALSE
51,0.00470679711641836,"glmer, task and run intercepts",FALSE
52,0.000178562982766965,"glmer, task and run intercepts",FALSE
53,0.0220987118997306,"glmer, task and run intercepts",FALSE
54,1.75054057581349e-05,"glmer, task and run intercepts",FALSE
55,0.000636936590312302,"glmer, task and run intercepts",FALSE
56,0.000897942235647969,"glmer, task and run intercepts",FALSE
57,1.79844041190013e-07,"glmer, task and run intercepts",FALSE
58,8.81652109424562e-07,"glmer, task and run intercepts",FALSE
59,0.000787750152480403,"glmer, task and run intercepts",FALSE
60,0.0083250929101462,"glmer, task and run intercepts",FALSE
61,0.000626473782099352,"glmer, task and run intercepts",FALSE
62,0.00195063533430838,"glmer, task and run intercepts",FALSE
63,0.0312045653152195,"glmer, task and run intercepts",FALSE
64,0.0022499668911887,"glmer, task and run intercepts",FALSE
65,0.0369352876267137,"glmer, task and run intercepts",FALSE
66,1.21796616934899e-05,"glmer, task and run intercepts",FALSE
67,0.00220571577237933,"glmer, task and run intercepts",FALSE
68,0.0470430339989557,"glmer, task and run intercepts",FALSE
69,0.00142824356932302,"glmer, task and run intercepts",FALSE
70,0.000510598434891892,"glmer, task and run intercepts",FALSE
71,2.81262963150239e-06,"glmer, task and run intercepts",FALSE
72,0.000860668616265998,"glmer, task and run intercepts",FALSE
73,0.00440813282122978,"glmer, task and run intercepts",FALSE
74,4.51253412304737e-05,"glmer, task and run intercepts",FALSE
75,0.00106790019861348,"glmer, task and run intercepts",FALSE
76,0.00090371441160667,"glmer, task and run intercepts",FALSE
77,0.039146229656287,"glmer, task and run intercepts",FALSE
78,0.010844941776611,"glmer, task and run intercepts",FALSE
79,0.0478881878903448,"glmer, task and run intercepts",FALSE
80,5.70614751933042e-06,"glmer, task and run intercepts",FALSE
81,0.000184373261988358,"glmer, task and run intercepts",FALSE
82,0.000732666109697375,"glmer, task and run intercepts",FALSE
83,8.53102080222318e-06,"glmer, task and run intercepts",FALSE
84,2.59831024102811e-05,"glmer, task and run intercepts",FALSE
85,0.143107920353162,"glmer, task and run intercepts",FALSE
86,0.00188126689009963,"glmer, task and run intercepts",FALSE
87,0.000155574911387579,"glmer, task and run intercepts",FALSE
88,0.00297644387870199,"glmer, task and run intercepts",FALSE
89,0.00167412786878154,"glmer, task and run intercepts",FALSE
90,0.000913145459262302,"glmer, task and run intercepts",FALSE
91,0.000741299737306171,"glmer, task and run intercepts",FALSE
92,0.0391983551338787,"glmer, task and run intercepts",FALSE
93,0.00024681570992219,"glmer, task and run intercepts",FALSE
94,0.00144164783676362,"glmer, task and run intercepts",FALSE
95,1.297004779299e-06,"glmer, task and run intercepts",FALSE
96,0.00924459606301461,"glmer, task and run intercepts",FALSE
97,0.000197121043753057,"glmer, task and run intercepts",FALSE
98,0.00783437347597211,"glmer, task and run intercepts",FALSE
99,0.000301022185177345,"glmer, task and run intercepts",FALSE
100,4.10436800302361e-07,"glmer, task and run intercepts",FALSE
101,0.000133744054816868,"glmer, task and run intercepts",FALSE
102,4.7892332083223e-06,"glmer, task and run intercepts",FALSE
103,0.00992374341645192,"glmer, task and run intercepts",FALSE
104,3.88206010870454e-07,"glmer, task and run intercepts",FALSE
105,0.000299154641739747,"glmer, task and run intercepts",FALSE
106,3.51316303052714e-07,"glmer, task and run intercepts",FALSE
107,0.00308080907001301,"glmer, task and run intercepts",FALSE
108,0.000991172927775603,"glmer, task and run intercepts",FALSE
109,0.0293343201115456,"glmer, task and run intercepts",FALSE
110,0.00219641741287701,"glmer, task and run intercepts",FALSE
111,7.80484429512987e-05,"glmer, task and run intercepts",FALSE
112,1.25340785843853e-07,"glmer, task and run intercepts",FALSE
113,0.0120994845395847,"glmer, task and run intercepts",FALSE
114,5.40489063305524e-06,"glmer, task and run intercepts",FALSE
115,1.63370595366424e-05,"glmer, task and run intercepts",FALSE
116,2.82372355181963e-07,"glmer, task and run intercepts",FALSE
117,3.00859113434875e-05,"glmer, task and run intercepts",FALSE
118,3.85978922216859e-05,"glmer, task and run intercepts",FALSE
119,2.13646884632115e-05,"glmer, task and run intercepts",FALSE
120,0.0157578224052331,"glmer, task and run intercepts",FALSE
121,0.00330274715740138,"glmer, task and run intercepts",FALSE
122,0.0304928223039739,"glmer, task and run intercepts",FALSE
123,5.13597158033391e-05,"glmer, task and run intercepts",FALSE
124,0.00108659025470081,"glmer, task and run intercepts",FALSE
125,6.47653742764069e-08,"glmer, task and run intercepts",FALSE
126,0.00459117958301349,"glmer, task and run intercepts",FALSE
127,2.24622548913754e-05,"glmer, task and run intercepts",FALSE
128,0.0633570696600593,"glmer, task and run intercepts",FALSE
129,1.7902519196559e-06,"glmer, task and run intercepts",FALSE
130,0.0272088550778065,"glmer, task and run intercepts",FALSE
131,0.207436087335729,"glmer, task and run intercepts",FALSE
132,0.00537943928271106,"glmer, task and run intercepts",FALSE
133,0.000242778558135351,"glmer, task and run intercepts",FALSE
134,0.0323253216758716,"glmer, task and run intercepts",FALSE
135,0.000126468535239617,"glmer, task and run intercepts",FALSE
136,2.37554700246073e-06,"glmer, task and run intercepts",FALSE
137,0.0568269390012855,"glmer, task and run intercepts",FALSE
138,0.000238714945021456,"glmer, task and run intercepts",FALSE
139,8.86178768633735e-05,"glmer, task and run intercepts",FALSE
140,0.00489478005267508,"glmer, task and run intercepts",FALSE
141,3.85788915252258e-06,"glmer, task and run intercepts",FALSE
142,0.00257971741953046,"glmer, task and run intercepts",FALSE
143,6.38066955334153e-07,"glmer, task and run intercepts",FALSE
144,0.000540413217848284,"glmer, task and run intercepts",FALSE
145,0.00060435711721975,"glmer, task and run intercepts",FALSE
146,1.79890070412947e-05,"glmer, task and run intercepts",FALSE
147,0.0119275663427072,"glmer, task and run intercepts",FALSE
148,0.000176722348103,"glmer, task and run intercepts",FALSE
149,8.58126528501731e-06,"glmer, task and run intercepts",FALSE
150,0.00205465758110432,"glmer, task and run intercepts",FALSE
151,0.000754222114436488,"glmer, task and run intercepts",FALSE
152,2.33331607603935e-08,"glmer, task and run intercepts",FALSE
153,1.8365427296797e-06,"glmer, task and run intercepts",FALSE
154,0.00102031311539938,"glmer, task and run intercepts",FALSE
155,2.7079588791464e-05,"glmer, task and run intercepts",FALSE
156,1.52570280767107e-05,"glmer, task and run intercepts",FALSE
157,0.00205531821646784,"glmer, task and run intercepts",FALSE
158,0.000532024421253363,"glmer, task and run intercepts",FALSE
159,7.86132953772448e-07,"glmer, task and run intercepts",FALSE
160,5.53388985643494e-05,"glmer, task and run intercepts",FALSE
161,2.04597297954015e-05,"glmer, task and run intercepts",FALSE
162,0.000584584641870348,"glmer, task and run intercepts",FALSE
163,0.00366477879765942,"glmer, task and run intercepts",FALSE
164,3.55707735823306e-06,"glmer, task and run intercepts",FALSE
165,5.74555404598328e-05,"glmer, task and run intercepts",FALSE
166,5.7096372762264e-05,"glmer, task and run intercepts",FALSE
167,0.000800114390990927,"glmer, task and run intercepts",FALSE
168,0.000317417388395055,"glmer, task and run intercepts",FALSE
169,6.75667183210309e-06,"glmer, task and run intercepts",FALSE
170,0.00249426171923761,"glmer, task and run intercepts",FALSE
171,0.0877281318380191,"glmer, task and run intercepts",FALSE
172,0.000190617603180975,"glmer, task and run intercepts",FALSE
173,0.000810027251740785,"glmer, task and run intercepts",FALSE
174,0.000216759455507635,"glmer, task and run intercepts",FALSE
175,0.017264631528218,"glmer, task and run intercepts",FALSE
176,0.0306127012411432,"glmer, task and run intercepts",FALSE
177,0.0191282607271692,"glmer, task and run intercepts",FALSE
178,0.0348243684878332,"glmer, task and run intercepts",FALSE
179,0.0047544207260736,"glmer, task and run intercepts",FALSE
180,0.195919905933686,"glmer, task and run intercepts",FALSE
181,4.87533298358719e-07,"glmer, task and run intercepts",FALSE
182,0.0015418669075046,"glmer, task and run intercepts",FALSE
