"dataset","p_interaction","ladder_step","still_failed"
0,4.06445930873739e-07,"glmer, task and run intercepts",FALSE
1,6.62109937186338e-08,"glmer, task and run intercepts",FALSE
2,4.61401191616302e-12,"glmer, task and run intercepts",FALSE
3,0.00065797729523366,"glmer, task and run intercepts",FALSE
4,2.38737316725048e-08,"glmer, task and run intercepts",FALSE
5,1.5223296709753e-05,"glmer, task and run intercepts",FALSE
6,1.58412999888182e-08,"glmer, task and run intercepts",FALSE
7,7.28584526627395e-08,"glmer, task and run intercepts",FALSE
8,2.0737076973676e-09,"glmer, task and run intercepts",FALSE
9,1.23645063947306e-06,"glmer, task and run intercepts",FALSE
10,5.49100941180673e-10,"glmer, task and run intercepts",FALSE
11,3.81871356713603e-08,"glmer, task and run intercepts",FALSE
12,5.76437261389544e-07,"glmer, task and run intercepts",FALSE
13,1.2721730837842e-08,"glmer, task and run intercepts",FALSE
14,2.23398741025427e-07,"glmer, task and run intercepts",FALSE
15,1.26868349269777e-06,"glmer, task and run intercepts",FALSE
16,2.38211513898656e-10,"glmer, task and run intercepts",FALSE
17,1.32814387203267e-08,"glmer, task and run intercepts",FALSE
18,8.6259312553999e-08,"glmer, task and run intercepts",FALSE
19,9.61062106763916e-06,"glmer, task and run intercepts",FALSE
20,0.201290993251244,"glmer, task and run intercepts",FALSE
21,0.00103676576984574,"glmer, task and run intercepts",FALSE
22,2.27955285629045e-08,"glmer, task and run intercepts",FALSE
23,0.00969478123302587,"glmer, task and run intercepts",FALSE
24,6.40768798350584e-06,"glmer, task and run intercepts",FALSE
25,0.000387366627933702,"glmer, task and run intercepts",FALSE
26,5.60371476129761e-08,"glmer, task and run intercepts",FALSE
27,3.35365305930455e-09,"glmer, task and run intercepts",FALSE
28,2.20327998453865e-07,"glmer, task and run intercepts",FALSE
29,8.46424874167973e-09,"glmer, task and run intercepts",FALSE
30,6.52719136943349e-05,"glmer, task and run intercepts",FALSE
31,1.279760715789e-07,"glmer, task and run intercepts",FALSE
32,1.89906579071596e-08,"glmer, task and run intercepts",FALSE
33,1.40540577781885e-05,"glmer, task and run intercepts",FALSE
34,2.66815691577468e-08,"glmer, task and run intercepts",FALSE
35,0.00161896959352255,"glmer, task and run intercepts",FALSE
36,6.89145957896204e-08,"glmer, task and run intercepts",FALSE
37,2.80773655373335e-08,"glmer, task and run intercepts",FALSE
38,3.89996004144406e-06,"glmer, task and run intercepts",FALSE
39,0.000124542906083846,"glmer, task and run intercepts",FALSE
40,2.65030215082577e-06,"glmer, task and run intercepts",FALSE
41,6.76463981314137e-07,"glmer, task and run intercepts",FALSE
42,0.000717532927954637,"glmer, task and run intercepts",FALSE
43,6.48500548973442e-07,"glmer, task and run intercepts",FALSE
44,9.032153848013e-09,"glmer, task and run intercepts",FALSE
45,3.77167963937334e-10,"glmer, task and run intercepts",FALSE
46,8.43183521266875e-05,"glmer, task and run intercepts",FALSE
47,1.10133680934898e-09,"glmer, task and run intercepts",FALSE
48,2.64130139170463e-08,"glmer, task and run intercepts",FALSE
49,1.12569672257116e-08,"glmer, task and run intercepts",FALSE
50,0.000101093383529183,"glmer, task and run intercepts",FALSE
51,1.30445065251488e-05,"glmer, task and run intercepts",FALSE
52,2.18007499443131e-07,"glmer, task and run intercepts",FALSE
53,0.000499790372726962,"glmer, task and run intercepts",FALSE
54,1.71512979660599e-09,"glmer, task and run intercepts",FALSE
55,6.25997568378608e-08,"glmer, task and run intercepts",FALSE
56,7.85299018871599e-08,"glmer, task and run intercepts",FALSE
57,7.33616906000698e-10,"glmer, task and run intercepts",FALSE
58,2.34534043236925e-12,"glmer, task and run intercepts",FALSE
59,1.42609445797373e-06,"glmer, task and run intercepts",FALSE
60,2.84113732399669e-05,"glmer, task and run intercepts",FALSE
61,2.83683280110861e-07,"glmer, task and run intercepts",FALSE
62,1.20249852117259e-06,"glmer, task and run intercepts",FALSE
63,1.85789492106562e-05,"glmer, task and run intercepts",FALSE
64,2.97547952924288e-06,"glmer, task and run intercepts",FALSE
65,0.000270546436300673,"glmer, task and run intercepts",FALSE
66,9.05082490607394e-09,"glmer, task and run intercepts",FALSE
67,1.89838027137003e-06,"glmer, task and run intercepts",FALSE
68,0.000715626604157431,"glmer, task and run intercepts",FALSE
69,2.68457022713194e-06,"glmer, task and run intercepts",FALSE
70,4.50961310940083e-06,"glmer, task and run intercepts",FALSE
71,8.86231598025038e-12,"glmer, task and run intercepts",FALSE
72,5.26956204468862e-07,"glmer, task and run intercepts",FALSE
73,5.02390191055768e-08,"glmer, task and run intercepts",FALSE
74,3.55049863597508e-09,"glmer, task and run intercepts",FALSE
75,2.59376162856882e-05,"glmer, task and run intercepts",FALSE
76,3.00388035432848e-07,"glmer, task and run intercepts",FALSE
77,0.000269898030131999,"glmer, task and run intercepts",FALSE
78,5.53229741525217e-05,"glmer, task and run intercepts",FALSE
79,0.0019381981896629,"glmer, task and run intercepts",FALSE
80,1.53997387197965e-09,"glmer, task and run intercepts",FALSE
81,1.01670487912771e-07,"glmer, task and run intercepts",FALSE
82,1.59181006525526e-05,"glmer, task and run intercepts",FALSE
83,1.5499450855464e-09,"glmer, task and run intercepts",FALSE
84,3.56271796651479e-08,"glmer, task and run intercepts",FALSE
85,0.000187957554208242,"glmer, task and run intercepts",FALSE
86,8.7272471286235e-07,"glmer, task and run intercepts",FALSE
87,1.41042456518791e-08,"glmer, task and run intercepts",FALSE
88,3.60207286448724e-07,"glmer, task and run intercepts",FALSE
89,4.89004911058079e-06,"glmer, task and run intercepts",FALSE
90,2.17991983222822e-08,"glmer, task and run intercepts",FALSE
91,1.34798324977096e-05,"glmer, task and run intercepts",FALSE
92,1.10807225006618e-05,"glmer, task and run intercepts",FALSE
93,1.41990793698104e-07,"glmer, task and run intercepts",FALSE
94,3.13741777928121e-06,"glmer, task and run intercepts",FALSE
95,1.63915908834154e-10,"glmer, task and run intercepts",FALSE
96,0.000758505720980554,"glmer, task and run intercepts",FALSE
97,3.48829196759046e-08,"glmer, task and run intercepts",FALSE
98,7.95233601846044e-05,"glmer, task and run intercepts",FALSE
99,1.93154258063517e-06,"glmer, task and run intercepts",FALSE
100,1.518568587708e-11,"glmer, task and run intercepts",FALSE
101,7.59055195509184e-08,"glmer, task and run intercepts",FALSE
102,4.77042890590356e-08,"glmer, task and run intercepts",FALSE
103,5.28933188720127e-06,"glmer, task and run intercepts",FALSE
104,2.48125436729845e-10,"glmer, task and run intercepts",FALSE
105,3.25395011796936e-08,"glmer, task and run intercepts",FALSE
106,6.62892113635293e-12,"glmer, task and run intercepts",FALSE
